RespondentID,Gender,What is your ethnicity?,What is your age group?,How far is your school and/or work from where you live?,How often do you commute to school and/or work by car/your own motorized vehicle,How often do you commute to school and/or work by public transit,How often do you commute to school and/or work by bike,How often do you commute to school and/or work by walking,"When you are NOT commuting to school and/or work, how often do you bike?","If you have children under the age of 18, do you allow them to bike and/or walk to school?",Do you know of any children that have been hit by a car while biking and/or walking in your city?,Have you or any adult you know been hit by a car while biking and/or walking in your city?,"When you bike/walk, is it to commute?","When you bike/walk, is it to be environmentally friendly?","When you bike/walk, is it for recreation?","When you bike/walk, is it for exercise?"
4793353790,Female,Hispanic or Latino,36-45,Over 20 miles,5+ times per week,,,,1-2 times per month,,No,No,,,,Exercise (not on a stationary bike)
4793347087,Male,White,Over 56,,,,,,,No,No,No,,,Recreation,Exercise (not on a stationary bike)
4793345955,Male,White,46-55,,Never,Never,Never,Never,3-4 days per week,No,No,No,,,Recreation,
4793342910,Male,Asian,26-35,,,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4793338264,Female,Asian,26-35,Over 20 miles,5+ times per week,Never,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4793334371,Female,Hispanic or Latino,Over 56,,,,,,,No,,,,,Recreation,
4793329755,Female,Hispanic or Latino,18-25,Under 2 miles,5+ times per week,,,,,,No,No,,,,Exercise (not on a stationary bike)
4793325236,Female,Decline to state,46-55,6-10 miles,,3-4 times per week,3-4 times per week,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,,To commute to school or work,,,
4793324051,Female,White,Over 56,Under 2 miles,5+ times per week,Never,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,
4793316443,Male,Asian,36-45,Under 2 miles,5+ times per week,,,,1-2 times per month,,Yes,"Yes, biking",To commute to school or work,,,Exercise (not on a stationary bike)
4793311992,Female,American Indian or Alaska Native,46-55,11-20 miles,3-4 times per week,3-4 times per week,3-4 times per week,3-4 times per week,3-4 days per week,,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793306979,Female,Asian,46-55,2-5 miles,,,5+ times per week,,3-4 days per week,,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793302485,Female,Hispanic or Latino,36-45,,,,,,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,,,,
4793297611,Male,White,46-55,,,,,,1-2 days per week,,Yes,"Yes, walking",,Be Environmentally Friendly,,
4793292057,Female,Hispanic or Latino,46-55,,,,,,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793286209,Female,Hispanic or Latino,46-55,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,Exercise (not on a stationary bike)
4793282171,Male,Black or African American,18-25,6-10 miles,5+ times per week,,,,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793278085,Male,White,Over 56,,,,,,1-2 days per week,,,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793273487,Male,Asian,46-55,,,,,,5+ days per week,,No,No,,,,Exercise (not on a stationary bike)
4793268057,Male,Other (please specify),Over 56,6-10 miles,1-2 times per week,5+ times per week,,,1-2 times per month,,No,No,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4793261036,Female,Asian,26-35,6-10 miles,,,1-2 times per month,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793255938,Female,White,46-55,,,,,,,,No,No,,,,Exercise (not on a stationary bike)
4793248545,Female,White,26-35,11-20 miles,5+ times per week,,,,1-2 times per month,,No,"Yes, biking",,,,Exercise (not on a stationary bike)
4793240801,Female,White,36-45,Over 20 miles,5+ times per week,Never,Never,Never,,No,Yes,"Yes, biking",,,,Exercise (not on a stationary bike)
4793234174,Female,Asian,Over 56,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793227627,Female,Hispanic or Latino,Over 56,6-10 miles,5+ times per week,,,,,No,No,"Yes, walking",,,,
4793220454,Male,Hispanic or Latino,Over 56,Over 20 miles,3-4 times per week,3-4 times per week,,,1-2 days per week,No,No,No,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4793215147,Male,Asian,Over 56,,,,,,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,Exercise (not on a stationary bike)
4793210750,Male,Black or African American,46-55,,,,,,1-2 times per month,No,No,No,,,,Exercise (not on a stationary bike)
4793207163,Male,Hispanic or Latino,,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,Exercise (not on a stationary bike)
4793201573,Male,White,26-35,11-20 miles,Never,5+ times per week,3-4 times per week,Never,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793195087,Male,Black or African American,46-55,,,,,,1-2 times per month,Yes,No,No,,,,Exercise (not on a stationary bike)
4793190289,Male,Asian,18-25,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4793180386,Male,White,36-45,2-5 miles,1-2 times per month,5+ times per week,5+ times per week,Never,5+ days per week,Yes,Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793173653,Male,Asian,46-55,,,,,,1-2 days per week,,,,,Be Environmentally Friendly,Recreation,
4793168604,Female,Hispanic or Latino,26-35,,,,,,1-2 days per week,,Yes,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793163402,Male,White,Over 56,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,Exercise (not on a stationary bike)
4793159726,Male,Asian,Over 56,6-10 miles,5+ times per week,,,,1-2 times per month,,No,No,,,Recreation,Exercise (not on a stationary bike)
4793155472,Male,Hispanic or Latino,Over 56,,,,,,,,No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793151500,Male,Asian,46-55,11-20 miles,5+ times per week,Never,Never,Never,1-2 days per week,No,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793145684,Male,Asian,13-17,,,,,,1-2 times per month,,No,No,,,,Exercise (not on a stationary bike)
4793142026,Male,Asian,Over 56,,,,,,1-2 times per month,,No,"Yes, biking",,,Recreation,
4793137211,Male,Hispanic or Latino,46-55,,,,,,1-2 days per week,,No,No,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4793130668,Female,Hispanic or Latino,26-35,2-5 miles,5+ times per week,1-2 times per week,,3-4 times per week,1-2 days per week,No,No,No,,Be Environmentally Friendly,Recreation,
4793125549,Male,Asian,Over 56,2-5 miles,5+ times per week,,,,1-2 times per month,,No,No,,,,Exercise (not on a stationary bike)
4793119176,Male,Asian,26-35,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4793113462,Female,Asian,Over 56,,Never,Never,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,,Exercise (not on a stationary bike)
4793109493,Male,Hispanic or Latino,36-45,2-5 miles,,,1-2 times per week,1-2 times per week,3-4 days per week,No,No,No,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4793104370,Female,Hispanic or Latino,26-35,,,,,,1-2 times per month,,Yes,No,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4793099928,Male,Asian,26-35,,,,,,1-2 days per week,,No,No,,,Recreation,Exercise (not on a stationary bike)
4793095261,Female,Asian,26-35,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,
4793091490,Female,Asian,26-35,11-20 miles,1-2 times per week,1-2 times per week,,,1-2 days per week,,Yes,No,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4793084728,Female,Decline to state,26-35,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,,
4793083684,Male,Asian,26-35,6-10 miles,,Never,1-2 times per month,Never,1-2 times per month,,No,"Yes, biking",To commute to school or work,,Recreation,
4793079933,Female,Other (please specify),Over 56,,,,1-2 times per month,1-2 times per month,3-4 days per week,,,,,,Recreation,Exercise (not on a stationary bike)
4793078189,Male,Asian,26-35,,,,,,3-4 days per week,,No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4793074037,Male,American Indian or Alaska Native,Over 56,6-10 miles,5+ times per week,5+ times per week,5+ times per week,5+ times per week,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,,Exercise (not on a stationary bike)
4793072267,Male,Hispanic or Latino,Over 56,6-10 miles,,,5+ times per week,,5+ days per week,No,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793062419,Female,Asian,36-45,,,,,,1-2 times per month,Yes,,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4793061471,Male,Asian,26-35,,,,,,1-2 times per month,,No,No,,,,
4793056279,Female,Asian,26-35,Over 20 miles,Never,5+ times per week,Never,Never,,,No,No,To commute to school or work,,Recreation,
4793048131,Female,Asian,46-55,,,,,,1-2 days per week,,Yes,No,,,Recreation,Exercise (not on a stationary bike)
4793044147,Male,Asian,Over 56,2-5 miles,5+ times per week,,1-2 times per month,,1-2 times per month,,No,No,To commute to school or work,,,Exercise (not on a stationary bike)
4793038178,Male,Asian,46-55,,,,,,3-4 days per week,Yes,No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4793034037,Male,Hispanic or Latino,46-55,6-10 miles,1-2 times per week,,1-2 times per week,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,Recreation,
4793026357,Male,Hispanic or Latino,26-35,,5+ times per week,Never,Never,Never,1-2 times per month,Yes,No,No,,,Recreation,Exercise (not on a stationary bike)
4793018640,Male,Hispanic or Latino,36-45,,,,,,3-4 days per week,Yes,No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4793010325,Male,Asian,46-55,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,
4792969148,Male,Hispanic or Latino,26-35,Over 20 miles,5+ times per week,,,,,Yes,No,No,,,Recreation,Exercise (not on a stationary bike)
4792824962,Male,Asian,36-45,2-5 miles,5+ times per week,Never,Never,Never,1-2 times per month,Yes,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4792716134,Female,Asian,36-45,Over 20 miles,3-4 times per week,,,,,No,No,"Yes, walking",,,,Exercise (not on a stationary bike)
4792691370,Male,Decline to state,36-45,Over 20 miles,,,,5+ times per week,1-2 days per week,Yes,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4773321882,Female,,18-25,2-5 miles,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4773318750,Female,Black or African American,26-35,11-20 miles,5+ times per week,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4710153792,Male,Asian,36-45,11-20 miles,,5+ times per week,,,1-2 times per month,,,,,,Recreation,Exercise (not on a stationary bike)
4705277096,Female,Asian,46-55,,,,,,1-2 days per week,,,,,,Recreation,Exercise (not on a stationary bike)
4696067731,Female,White,Over 56,Under 2 miles,3-4 times per week,,1-2 times per week,,1-2 times per month,,,No,To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4695012762,Female,Hispanic or Latino,26-35,,,,,,1-2 times per month,,,No,,,,Exercise (not on a stationary bike)
4694582220,Female,Hispanic or Latino,36-45,Over 20 miles,5+ times per week,Never,Never,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4694567907,Female,Hispanic or Latino,26-35,11-20 miles,3-4 times per week,1-2 times per week,1-2 times per week,Never,1-2 days per week,,,,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4692288894,Female,White,36-45,2-5 miles,1-2 times per week,,3-4 times per week,,1-2 days per week,No,Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4689726238,Female,White,26-35,Under 2 miles,5+ times per week,Never,Never,Never,,No,No,No,,,,Exercise (not on a stationary bike)
4689697445,Female,Decline to state,46-55,Over 20 miles,3-4 times per week,Never,Never,Never,1-2 times per month,No,No,No,,,Recreation,Exercise (not on a stationary bike)
4689640747,Male,Hispanic or Latino,36-45,,,,,,1-2 times per month,Yes,No,No,,,Recreation,
4689639038,Other,Decline to state,36-45,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4689621263,Female,White,26-35,2-5 miles,5+ times per week,Never,Never,Never,1-2 days per week,No,No,"Yes, biking",,,Recreation,
4689607210,Male,Hispanic or Latino,46-55,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,
4689192152,Female,White,26-35,,,,,,,,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4689170329,Female,Decline to state,46-55,2-5 miles,3-4 times per week,Never,1-2 times per month,1-2 times per month,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4689088597,Female,White,36-45,Under 2 miles,5+ times per week,,,5+ times per week,,Yes,No,No,To commute to school or work,,,Exercise (not on a stationary bike)
4689061227,Female,Decline to state,46-55,Over 20 miles,,5+ times per week,,,1-2 times per month,Yes,No,No,,,Recreation,Exercise (not on a stationary bike)
4689015290,Male,White,,,,,,,1-2 days per week,,Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4688983826,Female,Other (please specify),46-55,11-20 miles,3-4 times per week,Never,Never,Never,1-2 times per month,Yes,No,No,,,Recreation,Exercise (not on a stationary bike)
4688968284,Female,White,46-55,Under 2 miles,Never,3-4 times per week,1-2 times per month,1-2 times per month,5+ days per week,Yes,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4688944432,Male,White,36-45,,,,,,5+ days per week,Yes,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4688875415,Male,American Indian or Alaska Native,36-45,11-20 miles,1-2 times per week,3-4 times per week,1-2 times per week,Never,3-4 days per week,,,,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4666163027,Female,Hispanic or Latino,26-35,6-10 miles,5+ times per week,,,,1-2 times per month,,No,No,,,Recreation,Exercise (not on a stationary bike)
4658723990,Female,White,Over 56,,,,,,1-2 times per month,,,,,,,
4657370568,Male,Asian,36-45,11-20 miles,3-4 times per week,Never,Never,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4657239828,Male,Decline to state,Over 56,,,,,,1-2 days per week,,No,No,,,Recreation,Exercise (not on a stationary bike)
4656893013,Male,Asian,46-55,2-5 miles,5+ times per week,3-4 times per week,Never,Never,1-2 days per week,No,No,"Yes, biking",,,,Exercise (not on a stationary bike)
4656717373,Male,Other (please specify),36-45,6-10 miles,1-2 times per week,,3-4 times per week,,3-4 days per week,,,,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4656461830,Male,White,Over 56,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4656363834,Male,Asian,46-55,11-20 miles,5+ times per week,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4656357798,Male,Decline to state,46-55,,,,,,1-2 days per week,,,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4656334821,Male,Hispanic or Latino,46-55,,,,,,5+ days per week,,No,No,,,Recreation,Exercise (not on a stationary bike)
4656310180,Male,White,Over 56,,,,,,1-2 days per week,,No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4656300183,Male,Decline to state,26-35,,,,,,5+ days per week,,,,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4656249094,Male,Asian,46-55,Over 20 miles,1-2 times per week,Never,Never,Never,3-4 days per week,Yes,No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4656237838,Male,White,46-55,Over 20 miles,3-4 times per week,1-2 times per week,1-2 times per month,Never,5+ days per week,,No,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4656197220,Female,Black or African American,46-55,,,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,,Exercise (not on a stationary bike)
4656188148,Male,White,46-55,11-20 miles,1-2 times per month,1-2 times per week,5+ times per week,Never,3-4 days per week,No,Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4651084770,Female,Decline to state,46-55,Under 2 miles,3-4 times per week,Never,1-2 times per month,1-2 times per week,1-2 times per month,Yes,Yes,"Yes, walking",,,Recreation,
4650800877,Female,Asian,36-45,Over 20 miles,5+ times per week,Never,1-2 times per month,Never,3-4 days per week,,No,No,,,Recreation,Exercise (not on a stationary bike)
4646861873,Male,White,46-55,Under 2 miles,5+ times per week,Never,1-2 times per week,Never,5+ days per week,Yes,Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4646688947,Male,White,46-55,6-10 miles,1-2 times per month,5+ times per week,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,
4645751701,Female,White,Over 56,,,,,,1-2 times per month,,,,,,Recreation,Exercise (not on a stationary bike)
4645308588,Female,White,26-35,2-5 miles,5+ times per week,1-2 times per week,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4645163494,Female,White,Over 56,,,,,,1-2 times per month,,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4645061190,Male,White,46-55,2-5 miles,1-2 times per month,Never,3-4 times per week,1-2 times per month,1-2 days per week,Yes,Yes,"Yes, biking",To commute to school or work,,Recreation,
4644957552,Male,White,Over 56,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4644550102,Female,Other (please specify),36-45,,,,,,,No,No,"Yes, walking",,,,Exercise (not on a stationary bike)
4644540644,Female,Decline to state,Over 56,Under 2 miles,Never,Never,Never,,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,
4644539446,Male,White,Over 56,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4644539094,Female,Hispanic or Latino,36-45,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4644538670,Female,White,36-45,,,,,,,No,Yes,No,,,Recreation,Exercise (not on a stationary bike)
4643287056,Male,White,Over 56,,,,,,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4641433445,Male,White,26-35,Under 2 miles,1-2 times per month,1-2 times per week,5+ times per week,1-2 times per week,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4641397297,Female,White,36-45,6-10 miles,Never,5+ times per week,Never,5+ times per week,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4641329412,Male,Asian,36-45,11-20 miles,5+ times per week,Never,Never,Never,,,,,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4641217496,Male,White,46-55,Over 20 miles,Never,3-4 times per week,3-4 times per week,,5+ days per week,Yes,Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,,
4639641292,Male,White,36-45,,,,,,,,,,,Be Environmentally Friendly,,
4638727579,Female,Asian,26-35,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, walking",,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4638334664,Female,White,Over 56,,,,,,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4638047205,Male,Asian,26-35,2-5 miles,5+ times per week,,5+ times per week,,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4637432597,Female,Other (please specify),26-35,,,,,,5+ days per week,No,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4637378484,Male,White,36-45,Under 2 miles,1-2 times per week,Never,3-4 times per week,Never,3-4 days per week,Yes,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,
4637296505,Male,White,Over 56,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4636108186,Male,Decline to state,26-35,6-10 miles,1-2 times per week,3-4 times per week,3-4 times per week,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4635976131,Male,Hispanic or Latino,Over 56,,,,,,1-2 days per week,Yes,Yes,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4635970374,Male,White,36-45,11-20 miles,5+ times per week,,,,1-2 times per month,No,Yes,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4635944765,Male,White,46-55,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4635904588,Male,White,36-45,11-20 miles,5+ times per week,1-2 times per month,1-2 times per month,Never,1-2 days per week,,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4635877177,Female,Hispanic or Latino,18-25,Over 20 miles,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4635876505,Male,American Indian or Alaska Native,46-55,,,,,,,No,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,
4635842335,Male,White,Over 56,11-20 miles,1-2 times per month,3-4 times per week,3-4 times per week,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4635703472,Male,White,46-55,11-20 miles,5+ times per week,,,,1-2 days per week,,Yes,No,,,,Exercise (not on a stationary bike)
4635690143,Female,Hispanic or Latino,18-25,,,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",,,Recreation,
4635685285,Male,White,46-55,11-20 miles,5+ times per week,Never,1-2 times per month,Never,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4635611261,Male,Asian,26-35,6-10 miles,5+ times per week,1-2 times per month,1-2 times per month,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4635602172,Male,Hispanic or Latino,36-45,,,,,,1-2 days per week,No,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4635590012,Other,Hispanic or Latino,Over 56,11-20 miles,,,5+ times per week,,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4635579680,Male,Asian,36-45,,5+ times per week,Never,1-2 times per month,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4635574369,Male,Hispanic or Latino,26-35,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, walking",,,,Exercise (not on a stationary bike)
4635567186,Female,Hispanic or Latino,26-35,,,,,,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630967932,Female,Hispanic or Latino,18-25,,,,,,1-2 times per month,,No,"Yes, walking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630964990,Female,Asian,18-25,2-5 miles,,5+ times per week,,,1-2 days per week,,No,No,,Be Environmentally Friendly,Recreation,
4630962463,Female,Asian,26-35,6-10 miles,1-2 times per week,1-2 times per week,1-2 times per week,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4630960847,Male,Asian,18-25,Under 2 miles,,,5+ times per week,5+ times per week,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4630958340,Female,Asian,18-25,,,,,,1-2 days per week,,No,No,To commute to school or work,,,
4630956778,Male,Hispanic or Latino,26-35,6-10 miles,1-2 times per month,,1-2 times per month,,1-2 days per week,,No,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
